"","start.station.id","X","start.station.latitude","start.station.longitude","hire","start.station.name","perc","bike_count"
"253",519,346,40.751873,-73.977706,11383,"Pershing Square North",0.0523693411851307,52
"159",402,204,40.7403432,-73.98955109,7939,"Broadway & E 22 St",0.0365246595509753,37
"235",497,197,40.73704984,-73.99009296,7753,"E 17 St & Broadway",0.0356689363268311,36
"183",435,149,40.74173969,-73.99415556,7134,"W 21 St & 6 Ave",0.0328211262421789,33
"430",3255,142,40.7505853470215,-73.9946848154068,6764,"8 Ave & W 31 St",0.0311188811188811,31
"218",477,198,40.75640548,-73.9900262,6270,"W 41 St & 8 Ave",0.0288461538461538,29
"67",285,188,40.73454567,-73.99074142,6087,"Broadway & E 14 St",0.0280042326094958,28
"237",499,296,40.76915505,-73.98191841,5919,"Broadway & W 60 St",0.0272313213102687,27
"64",281,389,40.7643971,-73.97371465,5892,"Grand Army Plaza & Central Park S",0.0271071034228929,27
"229",490,152,40.751551,-73.993934,5817,"8 Ave & W 33 St",0.0267620537357379,27
"142",382,170,40.73492695,-73.99200509,5702,"University Pl & E 14 St",0.026232977548767,26
"256",523,180,40.75466591,-73.99138152,5614,"W 38 St & 8 Ave",0.0258281192491719,26
"179",426,12,40.71754834,-74.01322069,5484,"West St & Chambers St",0.02523003312477,25
"126",359,374,40.75510267,-73.97498696,5284,"E 47 St & Park Ave",0.0243099006256901,24
"279",2006,362,40.76590936,-73.97634151,5254,"Central Park S & 6 Ave",0.0241718807508281,24
"743",3641,207,40.7428687731211,-73.9891862869263,5231,"Broadway & W 25 St",0.0240660655134339,24
"70",293,183,40.7302066052995,-73.9910262823105,5230,"Lafayette St & E 8 St",0.0240614648509385,24
"125",358,50,40.73291553,-74.00711384,5219,"Christopher St & Greenwich St",0.0240108575634891,24
"755",3660,92,40.7410215090027,-74.001384973526,5121,"W 16 St & 8 Ave",0.02355999263894,24
"201",457,299,40.76695317,-73.98169333,5040,"Broadway & W 58 St",0.0231873389768127,23
"181",432,267,40.72621788,-73.98379855,5038,"E 7 St & Avenue A",0.0231781376518219,23
"28",229,158,40.72743423,-73.99379025,4946,"Great Jones St",0.0227548767022451,23
"231",492,185,40.75019995,-73.99093085,4939,"W 33 St & 7 Ave",0.0227226720647773,23
"134",368,86,40.73038599,-74.00214988,4902,"Carmine St & 6 Ave",0.0225524475524476,23
"243",505,218,40.74901271,-73.98848395,4858,"6 Ave & W 33 St",0.02235001840265,22
"435",3263,187,40.7295149622495,-73.990752696991,4826,"Cooper Square & Astor Pl",0.0222027972027972,22
"140",379,175,40.749156,-73.9916,4777,"W 31 St & 7 Ave",0.0219773647405226,22
"207",465,243,40.75513557,-73.98658032,4769,"Broadway & W 41 St",0.0219405594405594,22
"223",482,104,40.73935542,-73.99931783,4742,"W 15 St & 7 Ave",0.0218163415531837,22
"248",514,78,40.76087502,-74.00277668,4742,"12 Ave & W 40 St",0.0218163415531837,22
"145",387,67,40.71273266,-74.0046073,4729,"Centre St & Chambers St",0.0217565329407435,22
"203",459,44,40.746745,-74.007756,4646,"W 20 St & 11 Ave",0.0213746779536253,21
"19",168,145,40.73971301,-73.99456405,4559,"W 18 St & 6 Ave",0.0209744203165256,21
"269",537,265,40.74025878,-73.98409214,4540,"Lexington Ave & E 24 St",0.020887007729113,21
"13",151,120,40.722103786686,-73.997249007225,4499,"Cleveland Pl & Spring St",0.0206983805668016,21
"287",3002,6,40.711512,-74.015756,4462,"South End Ave & Liberty St",0.0205281560544718,21
"206",462,68,40.74691959,-74.00451887,4379,"W 22 St & 10 Ave",0.0201463010673537,20
"242",504,300,40.73221853,-73.98165557,4332,"1 Ave & E 16 St",0.0199300699300699,20
"582",3443,323,40.7613298312481,-73.9798200130463,4285,"W 52 St & 6 Ave",0.0197138387927862,20
"577",3435,132,40.718822,-73.99596,4253,"Grand St & Elizabeth St",0.0195666175929334,20
